"","V1"
"229","169 tBodyGyroJerk-mad()-Z"
"230","170 tBodyGyroJerk-max()-X"
"231","171 tBodyGyroJerk-max()-Y"
"232","172 tBodyGyroJerk-max()-Z"
"233","173 tBodyGyroJerk-min()-X"
"234","174 tBodyGyroJerk-min()-Y"
"235","175 tBodyGyroJerk-min()-Z"
"236","176 tBodyGyroJerk-sma()"
"237","177 tBodyGyroJerk-energy()-X"
"238","178 tBodyGyroJerk-energy()-Y"
"239","179 tBodyGyroJerk-energy()-Z"
"240","180 tBodyGyroJerk-iqr()-X"
"241","181 tBodyGyroJerk-iqr()-Y"
"242","182 tBodyGyroJerk-iqr()-Z"
"243","183 tBodyGyroJerk-entropy()-X"
"244","184 tBodyGyroJerk-entropy()-Y"
"245","185 tBodyGyroJerk-entropy()-Z"
"246","186 tBodyGyroJerk-arCoeff()-X"
"247","1"
"248","187 tBodyGyroJerk-arCoeff()-X"
"249","2"
"250","188 tBodyGyroJerk-arCoeff()-X"
"251","3"
"252","189 tBodyGyroJerk-arCoeff()-X"
"253","4"
"254","190 tBodyGyroJerk-arCoeff()-Y"
"255","1"
"256","191 tBodyGyroJerk-arCoeff()-Y"
"257","2"
"258","192 tBodyGyroJerk-arCoeff()-Y"
"259","3"
"260","193 tBodyGyroJerk-arCoeff()-Y"
"261","4"
"262","194 tBodyGyroJerk-arCoeff()-Z"
"263","1"
"264","195 tBodyGyroJerk-arCoeff()-Z"
"265","2"
"266","196 tBodyGyroJerk-arCoeff()-Z"
"267","3"
"268","197 tBodyGyroJerk-arCoeff()-Z"
"269","4"
"270","198 tBodyGyroJerk-correlation()-X"
"271","Y"
"272","199 tBodyGyroJerk-correlation()-X"
"273","Z"
"274","200 tBodyGyroJerk-correlation()-Y"
"275","Z"
"276","201 tBodyAccMag-mean()"
"277","202 tBodyAccMag-std()"
"278","203 tBodyAccMag-mad()"
"279","204 tBodyAccMag-max()"
"280","205 tBodyAccMag-min()"
"281","206 tBodyAccMag-sma()"
"282","207 tBodyAccMag-energy()"
"283","208 tBodyAccMag-iqr()"
"284","209 tBodyAccMag-entropy()"
"285","210 tBodyAccMag-arCoeff()1"
"286","211 tBodyAccMag-arCoeff()2"
"287","212 tBodyAccMag-arCoeff()3"
"288","213 tBodyAccMag-arCoeff()4"
"289","214 tGravityAccMag-mean()"
"290","215 tGravityAccMag-std()"
"291","216 tGravityAccMag-mad()"
"292","217 tGravityAccMag-max()"
"293","218 tGravityAccMag-min()"
"294","219 tGravityAccMag-sma()"
"295","220 tGravityAccMag-energy()"
"296","221 tGravityAccMag-iqr()"
"297","222 tGravityAccMag-entropy()"
"298","223 tGravityAccMag-arCoeff()1"
"299","224 tGravityAccMag-arCoeff()2"
"300","225 tGravityAccMag-arCoeff()3"
"301","226 tGravityAccMag-arCoeff()4"
"302","227 tBodyAccJerkMag-mean()"
"303","228 tBodyAccJerkMag-std()"
"304","229 tBodyAccJerkMag-mad()"
"305","230 tBodyAccJerkMag-max()"
"306","231 tBodyAccJerkMag-min()"
"307","232 tBodyAccJerkMag-sma()"
"308","233 tBodyAccJerkMag-energy()"
"309","234 tBodyAccJerkMag-iqr()"
"310","235 tBodyAccJerkMag-entropy()"
"311","236 tBodyAccJerkMag-arCoeff()1"
"312","237 tBodyAccJerkMag-arCoeff()2"
"313","238 tBodyAccJerkMag-arCoeff()3"
"314","239 tBodyAccJerkMag-arCoeff()4"
"315","240 tBodyGyroMag-mean()"
"316","241 tBodyGyroMag-std()"
"317","242 tBodyGyroMag-mad()"
"318","243 tBodyGyroMag-max()"
"319","244 tBodyGyroMag-min()"
"320","245 tBodyGyroMag-sma()"
"321","246 tBodyGyroMag-energy()"
"322","247 tBodyGyroMag-iqr()"
"323","248 tBodyGyroMag-entropy()"
"324","249 tBodyGyroMag-arCoeff()1"
"325","250 tBodyGyroMag-arCoeff()2"
"326","251 tBodyGyroMag-arCoeff()3"
"327","252 tBodyGyroMag-arCoeff()4"
"328","253 tBodyGyroJerkMag-mean()"
"329","254 tBodyGyroJerkMag-std()"
"330","255 tBodyGyroJerkMag-mad()"
"331","256 tBodyGyroJerkMag-max()"
"332","257 tBodyGyroJerkMag-min()"
"333","258 tBodyGyroJerkMag-sma()"
"334","259 tBodyGyroJerkMag-energy()"
"335","260 tBodyGyroJerkMag-iqr()"
"336","261 tBodyGyroJerkMag-entropy()"
"337","262 tBodyGyroJerkMag-arCoeff()1"
"338","263 tBodyGyroJerkMag-arCoeff()2"
"339","264 tBodyGyroJerkMag-arCoeff()3"
"340","265 tBodyGyroJerkMag-arCoeff()4"
"341","266 fBodyAcc-mean()-X"
"342","267 fBodyAcc-mean()-Y"
"343","268 fBodyAcc-mean()-Z"
"344","269 fBodyAcc-std()-X"
"345","270 fBodyAcc-std()-Y"
"346","271 fBodyAcc-std()-Z"
"347","272 fBodyAcc-mad()-X"
"348","273 fBodyAcc-mad()-Y"
"349","274 fBodyAcc-mad()-Z"
"350","275 fBodyAcc-max()-X"
"351","276 fBodyAcc-max()-Y"
"352","277 fBodyAcc-max()-Z"
"353","278 fBodyAcc-min()-X"
"354","279 fBodyAcc-min()-Y"
"355","280 fBodyAcc-min()-Z"
"356","281 fBodyAcc-sma()"
"357","282 fBodyAcc-energy()-X"
"358","283 fBodyAcc-energy()-Y"
"359","284 fBodyAcc-energy()-Z"
"360","285 fBodyAcc-iqr()-X"
"361","286 fBodyAcc-iqr()-Y"
"362","287 fBodyAcc-iqr()-Z"
"363","288 fBodyAcc-entropy()-X"
"364","289 fBodyAcc-entropy()-Y"
"365","290 fBodyAcc-entropy()-Z"
"366","291 fBodyAcc-maxInds-X"
"367","292 fBodyAcc-maxInds-Y"
"368","293 fBodyAcc-maxInds-Z"
"369","294 fBodyAcc-meanFreq()-X"
"370","295 fBodyAcc-meanFreq()-Y"
"371","296 fBodyAcc-meanFreq()-Z"
"372","297 fBodyAcc-skewness()-X"
"373","298 fBodyAcc-kurtosis()-X"
"374","299 fBodyAcc-skewness()-Y"
"375","300 fBodyAcc-kurtosis()-Y"
"376","301 fBodyAcc-skewness()-Z"
"377","302 fBodyAcc-kurtosis()-Z"
"378","303 fBodyAcc-bandsEnergy()-1"
"379","8"
"380","304 fBodyAcc-bandsEnergy()-9"
"381","16"
"382","305 fBodyAcc-bandsEnergy()-17"
"383","24"
"384","306 fBodyAcc-bandsEnergy()-25"
"385","32"
"386","307 fBodyAcc-bandsEnergy()-33"
"387","40"
"388","308 fBodyAcc-bandsEnergy()-41"
"389","48"
"390","309 fBodyAcc-bandsEnergy()-49"
"391","56"
"392","310 fBodyAcc-bandsEnergy()-57"
"393","64"
"394","311 fBodyAcc-bandsEnergy()-1"
"395","16"
"396","312 fBodyAcc-bandsEnergy()-17"
"397","32"
"398","313 fBodyAcc-bandsEnergy()-33"
"399","48"
"400","314 fBodyAcc-bandsEnergy()-49"
"401","64"
"402","315 fBodyAcc-bandsEnergy()-1"
"403","24"
"404","316 fBodyAcc-bandsEnergy()-25"
"405","48"
"406","317 fBodyAcc-bandsEnergy()-1"
"407","8"
"408","318 fBodyAcc-bandsEnergy()-9"
"409","16"
"410","319 fBodyAcc-bandsEnergy()-17"
"411","24"
"412","320 fBodyAcc-bandsEnergy()-25"
"413","32"
"414","321 fBodyAcc-bandsEnergy()-33"
"415","40"
"416","322 fBodyAcc-bandsEnergy()-41"
"417","48"
"418","323 fBodyAcc-bandsEnergy()-49"
"419","56"
"420","324 fBodyAcc-bandsEnergy()-57"
"421","64"
"422","325 fBodyAcc-bandsEnergy()-1"
"423","16"
"424","326 fBodyAcc-bandsEnergy()-17"
"425","32"
"426","327 fBodyAcc-bandsEnergy()-33"
"427","48"
"428","328 fBodyAcc-bandsEnergy()-49"
"429","64"
"430","329 fBodyAcc-bandsEnergy()-1"
"431","24"
"432","330 fBodyAcc-bandsEnergy()-25"
"433","48"
"434","331 fBodyAcc-bandsEnergy()-1"
"435","8"
"436","332 fBodyAcc-bandsEnergy()-9"
"437","16"
"438","333 fBodyAcc-bandsEnergy()-17"
"439","24"
"440","334 fBodyAcc-bandsEnergy()-25"
"441","32"
"442","335 fBodyAcc-bandsEnergy()-33"
"443","40"
"444","336 fBodyAcc-bandsEnergy()-41"
"445","48"
"446","337 fBodyAcc-bandsEnergy()-49"
"447","56"
"448","338 fBodyAcc-bandsEnergy()-57"
"449","64"
"450","339 fBodyAcc-bandsEnergy()-1"
"451","16"
"452","340 fBodyAcc-bandsEnergy()-17"
"453","32"
"454","341 fBodyAcc-bandsEnergy()-33"
"455","48"
"456","342 fBodyAcc-bandsEnergy()-49"
"457","64"
"458","343 fBodyAcc-bandsEnergy()-1"
"459","24"
"460","344 fBodyAcc-bandsEnergy()-25"
"461","48"
"462","345 fBodyAccJerk-mean()-X"
"463","346 fBodyAccJerk-mean()-Y"
"464","347 fBodyAccJerk-mean()-Z"
"465","348 fBodyAccJerk-std()-X"
"466","349 fBodyAccJerk-std()-Y"
"467","350 fBodyAccJerk-std()-Z"
"468","351 fBodyAccJerk-mad()-X"
"469","352 fBodyAccJerk-mad()-Y"
"470","353 fBodyAccJerk-mad()-Z"
"471","354 fBodyAccJerk-max()-X"
"472","355 fBodyAccJerk-max()-Y"
"473","356 fBodyAccJerk-max()-Z"
"474","357 fBodyAccJerk-min()-X"
"475","358 fBodyAccJerk-min()-Y"
"476","359 fBodyAccJerk-min()-Z"
"477","360 fBodyAccJerk-sma()"
"478","361 fBodyAccJerk-energy()-X"
"479","362 fBodyAccJerk-energy()-Y"
"480","363 fBodyAccJerk-energy()-Z"
"481","364 fBodyAccJerk-iqr()-X"
"482","365 fBodyAccJerk-iqr()-Y"
"483","366 fBodyAccJerk-iqr()-Z"
"484","367 fBodyAccJerk-entropy()-X"
"485","368 fBodyAccJerk-entropy()-Y"
"486","369 fBodyAccJerk-entropy()-Z"
"487","370 fBodyAccJerk-maxInds-X"
"488","371 fBodyAccJerk-maxInds-Y"
"489","372 fBodyAccJerk-maxInds-Z"
"490","373 fBodyAccJerk-meanFreq()-X"
"491","374 fBodyAccJerk-meanFreq()-Y"
"492","375 fBodyAccJerk-meanFreq()-Z"
"493","376 fBodyAccJerk-skewness()-X"
"494","377 fBodyAccJerk-kurtosis()-X"
"495","378 fBodyAccJerk-skewness()-Y"
"496","379 fBodyAccJerk-kurtosis()-Y"
"497","380 fBodyAccJerk-skewness()-Z"
"498","381 fBodyAccJerk-kurtosis()-Z"
"499","382 fBodyAccJerk-bandsEnergy()-1"
"500","8"
"501","383 fBodyAccJerk-bandsEnergy()-9"
"502","16"
"503","384 fBodyAccJerk-bandsEnergy()-17"
"504","24"
"505","385 fBodyAccJerk-bandsEnergy()-25"
"506","32"
"507","386 fBodyAccJerk-bandsEnergy()-33"
"508","40"
"509","387 fBodyAccJerk-bandsEnergy()-41"
"510","48"
"511","388 fBodyAccJerk-bandsEnergy()-49"
"512","56"
"513","389 fBodyAccJerk-bandsEnergy()-57"
"514","64"
"515","390 fBodyAccJerk-bandsEnergy()-1"
"516","16"
"517","391 fBodyAccJerk-bandsEnergy()-17"
"518","32"
"519","392 fBodyAccJerk-bandsEnergy()-33"
"520","48"
"521","393 fBodyAccJerk-bandsEnergy()-49"
"522","64"
"523","394 fBodyAccJerk-bandsEnergy()-1"
"524","24"
"525","395 fBodyAccJerk-bandsEnergy()-25"
"526","48"
"527","396 fBodyAccJerk-bandsEnergy()-1"
"528","8"
"529","397 fBodyAccJerk-bandsEnergy()-9"
"530","16"
"531","398 fBodyAccJerk-bandsEnergy()-17"
"532","24"
"533","399 fBodyAccJerk-bandsEnergy()-25"
"534","32"
"535","400 fBodyAccJerk-bandsEnergy()-33"
"536","40"
"537","401 fBodyAccJerk-bandsEnergy()-41"
"538","48"
"539","402 fBodyAccJerk-bandsEnergy()-49"
"540","56"
"541","403 fBodyAccJerk-bandsEnergy()-57"
"542","64"
"543","404 fBodyAccJerk-bandsEnergy()-1"
"544","16"
"545","405 fBodyAccJerk-bandsEnergy()-17"
"546","32"
"547","406 fBodyAccJerk-bandsEnergy()-33"
"548","48"
"549","407 fBodyAccJerk-bandsEnergy()-49"
"550","64"
"551","408 fBodyAccJerk-bandsEnergy()-1"
"552","24"
"553","409 fBodyAccJerk-bandsEnergy()-25"
"554","48"
"555","410 fBodyAccJerk-bandsEnergy()-1"
"556","8"
"557","411 fBodyAccJerk-bandsEnergy()-9"
"558","16"
"559","412 fBodyAccJerk-bandsEnergy()-17"
"560","24"
"561","413 fBodyAccJerk-bandsEnergy()-25"
"562","32"
"563","414 fBodyAccJerk-bandsEnergy()-33"
"564","40"
"565","415 fBodyAccJerk-bandsEnergy()-41"
"566","48"
"567","416 fBodyAccJerk-bandsEnergy()-49"
"568","56"
"569","417 fBodyAccJerk-bandsEnergy()-57"
"570","64"
"571","418 fBodyAccJerk-bandsEnergy()-1"
"572","16"
"573","419 fBodyAccJerk-bandsEnergy()-17"
"574","32"
"575","420 fBodyAccJerk-bandsEnergy()-33"
"576","48"
"577","421 fBodyAccJerk-bandsEnergy()-49"
"578","64"
"579","422 fBodyAccJerk-bandsEnergy()-1"
"580","24"
"581","423 fBodyAccJerk-bandsEnergy()-25"
"582","48"
"583","424 fBodyGyro-mean()-X"
"584","425 fBodyGyro-mean()-Y"
"585","426 fBodyGyro-mean()-Z"
"586","427 fBodyGyro-std()-X"
"587","428 fBodyGyro-std()-Y"
"588","429 fBodyGyro-std()-Z"
"589","430 fBodyGyro-mad()-X"
"590","431 fBodyGyro-mad()-Y"
"591","432 fBodyGyro-mad()-Z"
"592","433 fBodyGyro-max()-X"
"593","434 fBodyGyro-max()-Y"
"594","435 fBodyGyro-max()-Z"
"595","436 fBodyGyro-min()-X"
"596","437 fBodyGyro-min()-Y"
"597","438 fBodyGyro-min()-Z"
"598","439 fBodyGyro-sma()"
"599","440 fBodyGyro-energy()-X"
"600","441 fBodyGyro-energy()-Y"
"601","442 fBodyGyro-energy()-Z"
"602","443 fBodyGyro-iqr()-X"
"603","444 fBodyGyro-iqr()-Y"
"604","445 fBodyGyro-iqr()-Z"
"605","446 fBodyGyro-entropy()-X"
"606","447 fBodyGyro-entropy()-Y"
"607","448 fBodyGyro-entropy()-Z"
"608","449 fBodyGyro-maxInds-X"
"609","450 fBodyGyro-maxInds-Y"
"610","451 fBodyGyro-maxInds-Z"
"611","452 fBodyGyro-meanFreq()-X"
"612","453 fBodyGyro-meanFreq()-Y"
"613","454 fBodyGyro-meanFreq()-Z"
"614","455 fBodyGyro-skewness()-X"
"615","456 fBodyGyro-kurtosis()-X"
"616","457 fBodyGyro-skewness()-Y"
"617","458 fBodyGyro-kurtosis()-Y"
"618","459 fBodyGyro-skewness()-Z"
"619","460 fBodyGyro-kurtosis()-Z"
"620","461 fBodyGyro-bandsEnergy()-1"
"621","8"
"622","462 fBodyGyro-bandsEnergy()-9"
"623","16"
"624","463 fBodyGyro-bandsEnergy()-17"
"625","24"
"626","464 fBodyGyro-bandsEnergy()-25"
"627","32"
"628","465 fBodyGyro-bandsEnergy()-33"
"629","40"
"630","466 fBodyGyro-bandsEnergy()-41"
"631","48"
"632","467 fBodyGyro-bandsEnergy()-49"
"633","56"
"634","468 fBodyGyro-bandsEnergy()-57"
"635","64"
"636","469 fBodyGyro-bandsEnergy()-1"
"637","16"
"638","470 fBodyGyro-bandsEnergy()-17"
"639","32"
"640","471 fBodyGyro-bandsEnergy()-33"
"641","48"
"642","472 fBodyGyro-bandsEnergy()-49"
"643","64"
"644","473 fBodyGyro-bandsEnergy()-1"
"645","24"
"646","474 fBodyGyro-bandsEnergy()-25"
"647","48"
"648","475 fBodyGyro-bandsEnergy()-1"
"649","8"
"650","476 fBodyGyro-bandsEnergy()-9"
"651","16"
"652","477 fBodyGyro-bandsEnergy()-17"
"653","24"
"654","478 fBodyGyro-bandsEnergy()-25"
"655","32"
"656","479 fBodyGyro-bandsEnergy()-33"
"657","40"
"658","480 fBodyGyro-bandsEnergy()-41"
"659","48"
"660","481 fBodyGyro-bandsEnergy()-49"
"661","56"
"662","482 fBodyGyro-bandsEnergy()-57"
"663","64"
"664","483 fBodyGyro-bandsEnergy()-1"
"665","16"
"666","484 fBodyGyro-bandsEnergy()-17"
"667","32"
"668","485 fBodyGyro-bandsEnergy()-33"
"669","48"
"670","486 fBodyGyro-bandsEnergy()-49"
"671","64"
"672","487 fBodyGyro-bandsEnergy()-1"
"673","24"
"674","488 fBodyGyro-bandsEnergy()-25"
"675","48"
"676","489 fBodyGyro-bandsEnergy()-1"
"677","8"
"678","490 fBodyGyro-bandsEnergy()-9"
"679","16"
"680","491 fBodyGyro-bandsEnergy()-17"
"681","24"
"682","492 fBodyGyro-bandsEnergy()-25"
"683","32"
"684","493 fBodyGyro-bandsEnergy()-33"
"685","40"
"686","494 fBodyGyro-bandsEnergy()-41"
"687","48"
"688","495 fBodyGyro-bandsEnergy()-49"
"689","56"
"690","496 fBodyGyro-bandsEnergy()-57"
"691","64"
"692","497 fBodyGyro-bandsEnergy()-1"
"693","16"
"694","498 fBodyGyro-bandsEnergy()-17"
"695","32"
"696","499 fBodyGyro-bandsEnergy()-33"
"697","48"
"698","500 fBodyGyro-bandsEnergy()-49"
"699","64"
"700","501 fBodyGyro-bandsEnergy()-1"
"701","24"
"702","502 fBodyGyro-bandsEnergy()-25"
"703","48"
"704","503 fBodyAccMag-mean()"
"705","504 fBodyAccMag-std()"
"706","505 fBodyAccMag-mad()"
"707","506 fBodyAccMag-max()"
"708","507 fBodyAccMag-min()"
"709","508 fBodyAccMag-sma()"
"710","509 fBodyAccMag-energy()"
"711","510 fBodyAccMag-iqr()"
"712","511 fBodyAccMag-entropy()"
"713","512 fBodyAccMag-maxInds"
"714","513 fBodyAccMag-meanFreq()"
"715","514 fBodyAccMag-skewness()"
"716","515 fBodyAccMag-kurtosis()"
"717","516 fBodyBodyAccJerkMag-mean()"
"718","517 fBodyBodyAccJerkMag-std()"
"719","518 fBodyBodyAccJerkMag-mad()"
"720","519 fBodyBodyAccJerkMag-max()"
"721","520 fBodyBodyAccJerkMag-min()"
"722","521 fBodyBodyAccJerkMag-sma()"
"723","522 fBodyBodyAccJerkMag-energy()"
"724","523 fBodyBodyAccJerkMag-iqr()"
"725","524 fBodyBodyAccJerkMag-entropy()"
"726","525 fBodyBodyAccJerkMag-maxInds"
"727","526 fBodyBodyAccJerkMag-meanFreq()"
"728","527 fBodyBodyAccJerkMag-skewness()"
"729","528 fBodyBodyAccJerkMag-kurtosis()"
"730","529 fBodyBodyGyroMag-mean()"
"731","530 fBodyBodyGyroMag-std()"
"732","531 fBodyBodyGyroMag-mad()"
"733","532 fBodyBodyGyroMag-max()"
"734","533 fBodyBodyGyroMag-min()"
"735","534 fBodyBodyGyroMag-sma()"
"736","535 fBodyBodyGyroMag-energy()"
"737","536 fBodyBodyGyroMag-iqr()"
"738","537 fBodyBodyGyroMag-entropy()"
"739","538 fBodyBodyGyroMag-maxInds"
"740","539 fBodyBodyGyroMag-meanFreq()"
"741","540 fBodyBodyGyroMag-skewness()"
"742","541 fBodyBodyGyroMag-kurtosis()"
"743","542 fBodyBodyGyroJerkMag-mean()"
"744","543 fBodyBodyGyroJerkMag-std()"
"745","544 fBodyBodyGyroJerkMag-mad()"
"746","545 fBodyBodyGyroJerkMag-max()"
"747","546 fBodyBodyGyroJerkMag-min()"
"748","547 fBodyBodyGyroJerkMag-sma()"
"749","548 fBodyBodyGyroJerkMag-energy()"
"750","549 fBodyBodyGyroJerkMag-iqr()"
"751","550 fBodyBodyGyroJerkMag-entropy()"
"752","551 fBodyBodyGyroJerkMag-maxInds"
"753","552 fBodyBodyGyroJerkMag-meanFreq()"
